id,host_id,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
33517793,218110608,Fisherman's Wharf,4,4,Russian Hill,Room in aparthotel,Entire home/apt,8,,3 baths,3,3,"$1,857.00 ",1,60,32,4.94,f,1.56
33526719,1936903,Richmond District,0,0,Outer Richmond,Private room in residential home,Private room,2,,1 private bath,1,1,$142.00 ,1,30,19,4.94,t,1.2
33534825,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$309.00 ,1,1125,0,4.8,t,2.17
33537651,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,2,$339.00 ,1,1125,0,4.8,t,0.48
33537652,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$319.00 ,1,1125,0,4.62,t,0.41
33537653,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$349.00 ,1,1125,0,4,t,0.04
33537656,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,2,$379.00 ,1,1125,0,,t,
33537657,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$329.00 ,1,1125,0,4,t,0.56
33537658,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 bath,1,1,$339.00 ,1,1125,0,4.83,t,0.19
33537659,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$309.00 ,1,1125,1,4.45,t,0.88
33537660,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$649.00 ,1,1125,0,,t,
33537661,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,2,$369.00 ,1,1125,0,,t,
33537662,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,3,,1 private bath,1,2,$799.00 ,30,1125,0,,t,
33551880,156818277,,1,1,Marina,Entire rental unit,Entire home/apt,3,,1 bath,1,1,$225.00 ,7,1125,1,5,t,0.15
33563347,245417224,,13,13,Nob Hill,Room in hotel,Hotel room,2,,1 private bath,1,1,$299.00 ,1,1125,0,4.57,t,2.25
33587710,48005494,Sunnyvale,1106,1106,Russian Hill,Entire serviced apartment,Entire home/apt,4,,2 baths,2,2,$160.00 ,30,1125,0,,t,
33587968,48005494,Sunnyvale,1106,1106,Russian Hill,Entire serviced apartment,Entire home/apt,4,,2 baths,2,2,$218.00 ,30,1125,0,5,t,0.1
